,date,volcano,clear_1,clear_2,clear_3,clear_4,clear_5,clear_6,clear_7,clear_8
0,2018-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-07-21,0.0,0.0,0.0,0.0,0.0,0.0,2.6569500732875895e-07,0.0,0.0
3,2018-07-26,0.0,-5.492940999829443e-07,0.0,0.0,0.0,0.0,-2.1147140216726257e-07,0.0,5.341320843399444e-07
4,2018-07-27,0.0,-1.1078541639619743e-08,1.7063925383808964e-07,-3.461891395772909e-08,0.0,0.0,-2.3366467871710483e-07,0.0,0.0
5,2018-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-07-31,1.3999040504586446e-07,1.593710521774483e-06,6.301274879660923e-07,0.0,0.0,0.0,-5.912465326218808e-07,0.0,1.982052253879374e-06
7,2018-08-01,1.304793272538518e-06,4.1854244514638594e-09,2.176396037611994e-06,-3.8512953892677615e-07,1.4838162698538326e-08,0.0,-1.934288775373716e-06,9.897944153181015e-08,-1.1522573686306714e-06
8,2018-08-06,0.0,0.0,0.0,0.0,4.3344485334273486e-07,2.8197989720979422e-08,0.0,0.0,0.0
9,2018-08-07,1.7249948314201902e-07,1.1090026674764886e-07,8.94936320605666e-08,0.0,-5.590322871285025e-07,-3.450127294968297e-08,-1.564320939451136e-07,-2.3287603312382998e-07,7.143482605442841e-08
10,2018-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2018-08-10,-1.5362750218628207e-06,1.7138952443929156e-06,1.845014935497602e-06,5.0324487688158115e-08,-4.243894693445327e-07,0.0,5.297052211972186e-06,0.0,8.104443622869439e-07
12,2018-08-12,7.552552006018232e-07,1.9517538021318614e-06,1.8803323200700106e-06,5.122877269059245e-07,2.3981792196536844e-07,2.367236788813898e-07,1.8489082549422164e-06,0.0,1.722028457606939e-07
13,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2018-08-15,1.230286557074578e-06,2.970683226521942e-06,3.517386630846886e-06,8.121368750835245e-07,1.65713004207646e-06,0.0,2.637190732457384e-07,0.0,-7.361196026067773e-07
15,2018-08-16,0.0,0.0,0.0,0.0,8.004144547157921e-07,2.949850852473901e-07,0.0,1.7570437194081023e-07,0.0
16,2018-08-17,8.209707402784261e-08,-1.4225010147583816e-07,5.998448386890232e-07,-4.911245810035325e-08,1.2629568573174765e-06,-9.452423199718396e-08,9.379582479596138e-07,0.0,0.0
17,2018-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2018-08-20,1.6063181647041347e-06,1.1959795074290014e-06,4.057523256051354e-06,-8.90315561719035e-07,1.619826690557602e-07,1.9815765028852184e-07,7.783912678860361e-07,0.0,1.5710224943177309e-06
19,2018-08-22,0.0,0.0,0.0,0.0,1.604654897846558e-07,0.0,0.0,0.0,0.0
20,2018-08-23,0.0,2.2994238690898783e-07,-4.164501774539531e-07,0.0,-3.58377398868015e-08,0.0,6.591537982103546e-08,0.0,0.0
21,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2018-08-25,-1.1630920226934904e-07,0.0,0.0,0.0,-2.6488106641409104e-07,0.0,1.177769348714719e-07,0.0,-2.729478865148849e-07
23,2018-08-26,2.2621301809522265e-07,-6.4355241136127e-08,-6.647122852143639e-09,0.0,1.5790342899890675e-07,-1.1324382853672432e-07,5.161527383279463e-08,0.0,4.6153672883519903e-07
24,2018-08-27,-3.3423741996330136e-08,-2.181408547130559e-07,-1.0554204976642723e-07,0.0,2.641416187998402e-07,-3.631231138001567e-08,-1.6050258011546248e-07,0.0,-9.680676527068499e-08
25,2018-08-28,0.0,0.0,0.0,0.0,-5.938239269198675e-07,0.0,0.0,0.0,0.0
26,2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2018-08-30,0.0,-3.7737976299467846e-08,8.056405818024359e-07,-9.985925686351038e-08,0.0,0.0,0.0,0.0,0.0
28,2018-08-31,-2.0957469359927927e-07,7.1477609253634e-07,9.361544357489038e-07,8.095304337984999e-07,0.0,1.1305301228503595e-07,-1.3786747743438355e-08,0.0,0.0
